0;-19.7907;528.9164;15.4831;2013-06-04 09:20:46
2;-19.5931;506.0561;15.6797;2013-06-04 09:20:46
4;-19.3398;478.2293;15.8936;2013-06-04 09:20:46
6;-19.1237;455.4440;16.0363;2013-06-04 09:20:46
8;-18.8647;427.4678;16.1607;2013-06-04 09:20:46
10;-18.6051;396.8635;16.2984;2013-06-04 09:20:46
12;-18.3506;369.8025;16.3174;2013-06-04 09:20:46
14;-18.1431;346.0869;16.3232;2013-06-04 09:20:46
16;-17.8987;319.4874;16.2809;2013-06-04 09:20:46
18;-17.6469;288.9183;16.1929;2013-06-04 09:20:46
20;-17.3930;261.0567;16.0235;2013-06-04 09:20:46
22;-17.1899;238.4467;15.8540;2013-06-04 09:20:46
24;-16.9480;211.6490;15.6787;2013-06-04 09:20:46
26;-16.7004;186.7238;15.4766;2013-06-04 09:20:46
200;11.4251;-41.6108;-0.0743;2013-06-04 09:20:46
0;-19.8015;528.9149;15.4885;2013-06-04 09:41:53
2;-19.6024;506.0401;15.6366;2013-06-04 09:41:53
4;-19.3539;478.2188;15.7897;2013-06-04 09:41:53
6;-19.1335;455.4410;15.9307;2013-06-04 09:41:53
8;-18.8777;427.4674;16.1218;2013-06-04 09:41:53
10;-18.6188;396.8608;16.3315;2013-06-04 09:41:53
12;-18.3587;369.7965;16.3881;2013-06-04 09:41:53
14;-18.1516;346.0773;16.3920;2013-06-04 09:41:53
16;-17.9072;319.4739;16.3170;2013-06-04 09:41:53
18;-17.6545;288.9023;16.1559;2013-06-04 09:41:53
20;-17.4013;261.0450;15.9198;2013-06-04 09:41:53
22;-17.1992;238.4417;15.7411;2013-06-04 09:41:53
24;-16.9535;211.6491;15.6189;2013-06-04 09:41:53
26;-16.7038;186.7239;15.4772;2013-06-04 09:41:53
200;11.4258;-41.6109;-0.0744;2013-06-04 09:41:53
0;-19.8062;528.9152;15.4876;2013-06-04 09:46:49
2;-19.6000;506.0410;15.6284;2013-06-04 09:46:49
4;-19.3535;478.2194;15.7840;2013-06-04 09:46:49
6;-19.1338;455.4410;15.9282;2013-06-04 09:46:49
8;-18.8828;427.4673;16.1164;2013-06-04 09:46:49
10;-18.6174;396.8607;16.3346;2013-06-04 09:46:49
12;-18.3587;369.7965;16.3836;2013-06-04 09:46:49
14;-18.1512;346.0767;16.3891;2013-06-04 09:46:49
16;-17.9083;319.4736;16.3159;2013-06-04 09:46:49
18;-17.6553;288.9019;16.1542;2013-06-04 09:46:49
20;-17.4021;261.0442;15.9173;2013-06-04 09:46:49
22;-17.2010;238.4411;15.7394;2013-06-04 09:46:49
24;-16.9544;211.6486;15.6169;2013-06-04 09:46:49
26;-16.7033;186.7238;15.4776;2013-06-04 09:46:49
200;11.4259;-41.6105;-0.0746;2013-06-04 09:46:49
0;-19.8035;528.9153;15.4839;2013-06-04 09:52:20
2;-19.6010;506.0407;15.6303;2013-06-04 09:52:20
4;-19.3543;478.2195;15.7828;2013-06-04 09:52:20
6;-19.1355;455.4410;15.9286;2013-06-04 09:52:20
8;-18.8790;427.4675;16.1199;2013-06-04 09:52:20
10;-18.6181;396.8607;16.3316;2013-06-04 09:52:20
12;-18.3603;369.7968;16.3838;2013-06-04 09:52:20
14;-18.1504;346.0769;16.3906;2013-06-04 09:52:20
16;-17.9089;319.4733;16.3155;2013-06-04 09:52:20
18;-17.6547;288.9020;16.1529;2013-06-04 09:52:20
20;-17.4024;261.0443;15.9192;2013-06-04 09:52:20
22;-17.2002;238.4410;15.7385;2013-06-04 09:52:20
24;-16.9539;211.6484;15.6187;2013-06-04 09:52:20
26;-16.7028;186.7242;15.4788;2013-06-04 09:52:20
200;11.4263;-41.6107;-0.0746;2013-06-04 09:52:20
0;-19.8162;528.9243;15.4860;2013-06-04 10:14:56
2;-19.6122;506.0649;15.6843;2013-06-04 10:14:56
4;-19.3609;478.2373;15.8957;2013-06-04 10:14:56
6;-19.1404;455.4532;16.0348;2013-06-04 10:14:56
8;-18.8863;427.4753;16.1598;2013-06-04 10:14:56
10;-18.6252;396.8697;16.3015;2013-06-04 10:14:56
12;-18.3659;369.8085;16.3179;2013-06-04 10:14:56
14;-18.1562;346.0923;16.3263;2013-06-04 10:14:56
16;-17.9111;319.4913;16.2804;2013-06-04 10:14:56
18;-17.6584;288.9213;16.1921;2013-06-04 10:14:56
20;-17.4050;261.0589;16.0199;2013-06-04 10:14:56
22;-17.1997;238.4479;15.8496;2013-06-04 10:14:56
24;-16.9568;211.6503;15.6778;2013-06-04 10:14:56
26;-16.7070;186.7275;15.4777;2013-06-04 10:14:56
200;11.4263;-41.6114;-0.0745;2013-06-04 10:14:56
0;-19.8141;528.9242;15.4887;2013-06-04 10:19:01
2;-19.6094;506.0652;15.6848;2013-06-04 10:19:01
4;-19.3619;478.2375;15.8933;2013-06-04 10:19:01
6;-19.1449;455.4523;16.0329;2013-06-04 10:19:01
8;-18.8894;427.4749;16.1584;2013-06-04 10:19:01
