101;119.197;118.827;120.014;
102;119.192;123.834;120.019;
103;119.191;130.036;120.000;
104;119.196;136.218;119.988;
105;119.199;141.225;119.989;
201;120.000;120.000;120.017;
202;119.997;125.004;120.021;
203;119.998;130.696;120.002;
204;119.995;135.002;119.994;
205;119.995;137.496;119.999;
206;120.000;140.000;120.001;
301;117.416;118.835;118.959;
302;117.416;120.763;118.961;
303;117.408;122.482;118.960;
304;117.409;124.572;118.957;
305;117.407;126.546;118.959;
306;117.402;128.488;118.959;
307;117.397;130.195;118.950;
308;117.393;132.101;118.951;
309;117.388;134.033;118.954;
310;117.384;135.757;118.953;
311;117.379;137.865;118.956;
312;117.376;139.610;118.957;
313;117.372;141.324;118.954;
314;119.195;117.868;118.959;
315;119.200;120.451;118.964;
316;119.199;122.178;118.959;
317;119.199;126.000;118.955;
318;119.198;128.146;118.957;
319;119.198;132.432;118.950;
320;119.199;134.141;118.950;
321;119.204;138.012;118.957;
322;119.202;139.712;118.950;
323;119.196;142.087;118.964;
401;121.703;117.768;118.957;
402;121.701;120.757;118.953;
403;121.685;124.190;118.961;
404;121.679;126.116;118.954;
405;121.677;128.058;118.947;
406;121.658;131.929;118.952;
407;121.653;133.852;118.954;
408;121.649;135.787;118.953;
409;121.640;137.715;118.963;
410;121.642;139.635;118.964;
411;121.631;141.562;118.965;
501;117.004;120.705;121.550;
502;117.000;124.520;121.549;
503;117.003;128.255;121.549;
504;116.994;132.062;121.553;
505;116.987;135.956;121.585;
506;117.011;139.666;121.549;
507;117.528;143.139;121.578;
508;121.959;143.158;121.547;
509;123.149;138.927;121.578;
510;123.137;135.172;121.551;
511;123.129;128.008;121.551;
512;123.136;124.349;121.538;
513;123.138;120.582;121.525;
515;121.983;116.849;121.534;
