548051.05,5129260.04,1005.87
548049.53,5129253.05,1003.04
548049.06,5129250.74,1001.75
548048.46,5129248.30,1001.74
548047.85,5129245.86,1001.72
548047.25,5129243.42,1001.75
548045.68,5129236.30,999.20
548045.18,5129233.93,998.11
548044.65,5129231.54,997.26
548044.12,5129229.14,996.45
548043.02,5129224.30,995.07
548042.47,5129221.85,994.46
548041.92,5129219.44,993.79
548041.36,5129216.99,993.24
548034.80,5129187.49,983.41
548032.01,5129175.02,979.48
548029.19,5129162.40,975.45
548028.09,5129157.34,973.39
548028.32,5129148.63,968.84
548030.48,5129158.77,973.87
548036.11,5129183.98,982.60
548037.28,5129189.00,983.70
548038.36,5129193.96,985.77
548041.73,5129208.82,990.31
548043.34,5129216.14,993.18
548043.91,5129218.60,993.70
548044.47,5129221.06,994.44
548045.03,5129223.49,995.08
548045.58,5129225.92,995.76
548046.12,5129228.33,996.58
548046.67,5129230.76,997.37
548047.20,5129233.15,998.34
548047.69,5129235.54,999.63
548048.21,5129237.90,1000.64
548049.30,5129242.69,1002.05
548049.92,5129245.16,1001.93
548050.52,5129247.60,1002.02
548051.13,5129250.06,1002.12
548051.65,5129252.41,1002.97
548052.64,5129257.07,1005.26
548054.74,5129266.45,1008.45
548055.28,5129268.81,1009.11
548057.94,5129280.45,1012.32
548058.45,5129282.75,1013.17
548058.97,5129285.05,1013.86
548060.03,5129289.65,1015.14
548055.35,5129263.66,1008.11
548052.88,5129252.05,1002.88
548052.33,5129249.67,1002.26
548051.74,5129247.24,1002.18
548051.14,5129244.79,1002.05
548050.53,5129242.35,1002.14
548049.48,5129237.59,1000.55
548048.97,5129235.21,999.50
548048.50,5129232.88,998.03
548047.95,5129230.46,997.42
548047.40,5129228.04,996.78
548046.87,5129225.63,995.83
548046.34,5129223.23,994.97
548045.21,5129218.33,993.98
548040.86,5129198.76,987.33
548037.51,5129183.83,982.85
548032.01,5129158.70,973.30
548029.24,5129145.96,968.13
548028.31,5129132.80,964.32
548032.97,5129153.32,970.39
548033.54,5129155.88,971.34
548034.58,5129160.90,974.22
548036.79,5129170.97,978.27
548038.47,5129178.48,980.89
548039.03,5129180.99,981.70
548040.72,5129188.48,984.04
548042.39,5129195.93,986.64
548044.58,5129205.76,990.18
548045.73,5129210.70,991.34
548046.28,5129213.14,992.10
548046.84,5129215.60,992.85
548047.36,5129218.01,993.84
548047.93,5129220.47,994.38
548048.47,5129222.88,995.20
548049.04,5129225.32,995.82
548049.57,5129227.73,996.77
548050.11,5129230.15,997.59
548050.67,5129232.56,998.17
548051.19,5129234.95,999.22
548051.67,5129237.28,1000.61
548052.71,5129242.04,1002.50
548053.35,5129244.52,1002.26
548053.94,5129246.94,1002.44
548054.54,5129249.39,1002.51
548055.10,5129251.78,1003.03
548055.56,5129254.08,1004.56
548057.65,5129263.46,1007.93
548059.24,5129270.46,1009.97
548061.89,5129282.07,1013.28
548062.42,5129284.37,1013.89
548059.04,5129264.13,1008.20
548056.96,5129254.76,1005.07
548056.48,5129252.45,1003.73
548055.98,5129250.12,1002.72
548055.39,5129247.69,1002.61
548054.80,5129245.27,1002.49
548054.19,5129242.82,1002.55
548053.58,5129240.37,1002.56
548053.10,5129238.02,1001.32
548052.63,5129235.69,999.81
548051.60,5129230.92,997.87
548051.06,5129228.51,997.02
548050.52,5129226.10,996.27
548050.00,5129223.69,995.34
548049.45,5129221.27,994.60
548048.91,5129218.84,993.79
548048.36,5129216.40,993.15
548047.25,5129211.50,991.72
548045.07,5129201.70,988.48
548043.43,5129194.28,985.95
548042.87,5129191.81,985.17
548040.08,5129179.33,981.22
548038.43,5129171.81,978.49
548037.87,5129169.28,977.53
548036.21,5129161.71,974.73
548035.10,5129156.64,972.74
548034.63,5129154.14,970.73
548034.08,5129151.60,969.78
548034.67,5129145.08,967.33
548035.80,5129150.19,969.20
548036.34,5129152.71,970.45
548037.45,5129157.78,972.53
548038.02,5129160.32,973.40
548040.76,5129172.90,978.68
548044.07,5129187.86,984.47
548046.91,5129200.31,987.98
548048.57,5129207.69,990.39
548049.12,5129210.14,991.32
548050.78,5129217.46,993.58
548051.33,5129219.91,994.32
548051.85,5129222.32,995.39
548052.98,5129227.18,996.62
548053.51,5129229.59,997.56
548054.55,5129234.37,999.56
548055.03,5129236.71,1001.02
548055.50,5129239.05,1002.55
548056.08,5129241.46,1002.87
548056.71,5129243.94,1002.67
548057.30,5129246.37,1002.81
548057.92,5129248.82,1002.84
548058.50,5129251.23,1003.08
548058.94,5129253.51,1004.79
548059.43,5129255.83,1005.98
548061.04,5129262.90,1008.07
548065.26,5129281.49,1013.78
548065.82,5129283.83,1014.03
